Property ID,Property Type,Bedrooms,Bathrooms,Floor Area,Postcode,Published Date,Price,Tenure,Council Tax Band,Parking,Garden,Distance From Nearest Station,Marketed By
145873820,Terraced,3,2,107,E1,2024-03-18,850000,Freehold,F,False,True,0.2, The Bespoke Agent
149670842,Duplex,4,3,134,E14,2024-06-28,850000,Leasehold,F,True,False,0.2, Property Liaisons
149573477,House,3,2,108,E3,2024-07-01,850000,Freehold,0,False,True,0.7, Foxtons
141374657,House,3,1,72,E1W,2024-06-04,850000,Share of Freehold,0,False,True,0.3, Foxtons
147410039,Terraced,2,2,96,0,2024-04-30,850000,Leasehold,0,True,True,0.2, Dexters
149590097,Apartment,2,2,96,0,2024-06-26,850000,Leasehold,E,True,True,0.2, ea2 Estate Agency
146906957,Flat,3,2,107,E1,2024-04-17,850000,Freehold,0,False,False,0.3, Brickworks
149055269,Apartment,2,2,96,0,2024-06-12,850000,Leasehold,G,True,True,0.1, EweMove
144860786,Terraced,4,1,192,0,2024-02-19,850000,Freehold,0,False,True,0.2, Felicity J Lord
149334083,Terraced,3,2,144,E1,2024-06-19,850000,Freehold,F,False,False,0.3, Life Residential
149254508,Terraced,4,2,192,E3,2024-06-17,850000,Freehold,D,True,True,0.4, Look Property Services Ltd
144975464,Flat,2,2,78,E1,2024-05-07,850000,Leasehold,0,False,True,0.1, Foxtons
128100512,Apartment,1,1,48,E1W,2023-03-08,850000,Leasehold,0,False,True,0.3, Lionsgate Property Management
120847793,Apartment,1,1,55,E1W,2022-03-09,850000,Leasehold,F,False,False,0.3, CBRE Residential
148806401,Apartment,1,1,48,E1W,2024-06-05,850000,Leasehold,0,False,False,0.4, JOHNS&CO
148310225,Flat,2,2,116,E1,2024-06-03,850000,Leasehold,0,False,False,0.2, Foxtons
148102415,Apartment,2,2,76,E14,2024-05-17,850000,Leasehold,F,False,False,0.2, Lixing
130526855,Apartment,1,1,48,0,2024-04-26,850000,0,0,False,False,0.1, CHARLES WILLIAM PROPERTY INVESTMENT
85922316,Apartment,1,1,48,E1W,2022-10-12,850000,Leasehold,F,False,False,0.3, Regent Letting and Property Management
147180827,Terraced,3,2,105,0,2024-06-01,850000,Freehold,0,False,True,0.1, Calibre Estates
147019016,Apartment,1,1,62,E14,2024-07-10,850000,Leasehold,0,False,True,0.1, Nova Haus London
143992208,Apartment,2,2,83,E14,2024-05-15,850000,Leasehold,0,True,False,0.2, Madison Brook
86920995,Apartment,2,1,96,E14,2024-03-26,850000,Leasehold,C,True,False,0.3, Purplebricks
86502537,End of Terrace,3,2,144,E14,2024-06-01,850000,Freehold,E,False,True,0.1, Knight Frank
147613238,House,3,2,110,E2,2023-11-10,850000,Freehold,E,False,False,0.3, Winkworth
149402261,Flat,2,2,96,E14,2024-06-20,849950,0,F,True,False,0.2, eXp UK
134718827,Apartment,3,2,118,E14,2024-04-25,849000,Leasehold,G,True,False,0.1, Hurford Salvi Carr
145563494,Apartment,1,1,48,E1W,2024-03-09,848000,Leasehold,0,False,True,0.4, Chase Evans
134929610,Apartment,2,1,96,E1,2022-06-01,847000,Leasehold,G,False,True,0.1, Hurford Salvi Carr
142761212,Apartment,1,1,64,E1,2023-12-07,845000,Leasehold,E,True,True,0.2, O'Sullivan Property
137061035,Flat,1,1,48,E14,2024-01-10,475000,Leasehold,0,False,False,0.2, JLL
148220525,Flat,2,2,96,0,2024-05-21,845000,Share of Freehold,G,True,False,0.2, Rubicon Estate Agents Limited
148530947,Flat,2,2,85,E14,2024-05-30,840000,Leasehold,0,True,True,0.3, EGRE
82157118,Apartment,2,2,85,E14,2022-03-07,840000,0,0,False,True,0.2, Latymers Estate Agents
138626081,Apartment,2,2,96,E14,2023-07-11,835000,0,0,False,True,0.1, Ivory Real Estate
149770517,Flat,2,2,96,0,2024-07-01,834950,Share of Freehold,0,True,False,0.3, Dexters
147556685,Apartment,2,2,72,E14,2024-05-02,826500,0,0,False,True,0.1, JLL
136257128,Flat,3,2,144,0,2023-08-21,825000,0,0,True,True,0.4, Dexters
149839103,Apartment,3,2,89,E14,2024-07-03,825000,Leasehold,F,False,False,0.2, Life Residential
144419246,Apartment,2,2,141,0,2024-02-06,825000,Leasehold,G,False,False,0.0, Love Your Home
136171580,Terraced,3,3,144,E14,2023-10-05,825000,Freehold,E,True,True,0.4, Stirling Ackroyd Sales
86543406,Apartment,2,2,96,E14,2023-10-24,825000,Leasehold,0,False,False,0.2, JS Estate Management
86754747,Apartment,2,2,139,E14,2024-02-07,825000,Leasehold,G,False,False,0.0, CBRE Residential
135443276,Apartment,1,1,48,E1,2023-05-30,825000,Leasehold,0,False,False,0.2, JLL
149626067,Apartment,2,2,96,E14,2024-04-23,825000,Leasehold,0,False,True,0.1, Prime Residential Property Management
142448888,Flat,2,2,61,E1,2023-11-29,825000,Leasehold,F,False,False,0.2, London Property Guru
